Altitude (km),Temperature (K)
0,93.7
1,91.11019382
2,88.85304781
3,86.88712691
4,85.17099603
5,83.66322009
6,82.322364
7,81.10699268
8,79.97567105
9,78.88696404
10,77.80085441
11,76.70993602
12,75.63941372
13,74.61591026
14,73.66604839
15,72.81156771
16,72.04627664
17,71.35406918
18,70.71882757
19,70.12443402
20,69.55510761
21,69.0028149
22,68.46726993
23,67.94852362
24,67.44662686
25,66.96163054
26,66.49358556
27,66.04254283
28,65.60855325
29,65.1916677
30,64.79209283
31,64.4119266
32,64.05452679
33,63.723274
34,63.42154886
35,63.15273196
36,62.92020392
37,62.72734431
38,62.57657264
39,62.46757883
40,62.39957093
41,62.37175696
42,62.38334497
43,62.433543
44,62.52155907
45,62.64674151
46,62.81075551
47,63.01716835
48,63.26960359
49,63.5716848
50,63.92703554
51,64.33927938
52,64.81203988
53,65.3489406
54,65.95360512
55,66.62973538
56,67.3930928
57,68.28439226
58,69.34744173
59,70.62604916
60,72.1640225
61,74.00516971
62,76.18402106
63,78.68010615
64,81.45276339
65,84.46130032
66,87.66499535
67,91.00733221
68,94.38993344
69,97.7172214
70,100.9424888
71,104.0344595
72,106.9687578
73,109.7407326
74,112.3492376
75,114.793131
76,117.0747509
77,119.2061502
78,121.2010636
79,123.0732258
80,124.8362917
81,126.5023744
82,128.0821929
83,129.5864158
84,131.0257119
85,132.4107498
86,133.7519553
87,135.05352
88,136.3130215
89,137.5277181
90,138.6948679
91,139.8117293
92,140.8755605
93,141.8836197
94,142.833223
95,143.7248452
96,144.5636898
97,145.3553485
98,146.1054128
99,146.8194744
100,147.5031249
101,148.1619558
102,148.8015587
103,149.4275252
104,150.045443
105,150.659024
106,151.267099
107,151.8677144
108,152.4589167
109,153.0387527
110,153.6052687
111,154.1565115
112,154.6908791
113,155.2086614
114,155.7107812
115,156.198162
116,156.6717272
117,157.1324002
118,157.5811044
119,158.0187632
120,158.4463
121,158.8646382
122,159.2747013
123,159.6773956
124,160.0735069
125,160.4637692
126,160.848916
127,161.2296812
128,161.6067985
129,161.9810015
130,162.353024
131,162.7235996
132,163.0934621
133,163.4633452
134,163.8339826
135,164.206108
136,164.5804551
137,164.9577576
138,165.3387493
139,165.7241638
140,166.1147348
