t (s),   rx (km),  ry (km),  rz (km), vx (km/s), vy (km/s), vz (km/s),
  0.00,  1249.93,  6297.17,  1677.86,  -7.1341,   0.5774,   3.1688, 
 10.17,  1176.84,  6302.64,  1710.17,  -7.2420,   0.4968,   3.1855, 
 20.34,  1102.64,  6307.28,  1742.65,  -7.3490,   0.4150,   3.2015, 
 30.51,  1027.37,  6311.08,  1775.29,  -7.4552,   0.3321,   3.2168, 
 40.68,   951.01,  6314.03,  1808.07,  -7.5606,   0.2481,   3.2312, 
 50.85,   873.60,  6316.12,  1841.01,  -7.6650,   0.1630,   3.2450, 
 61.02,   795.12,  6317.34,  1874.07,  -7.7685,   0.0769,   3.2580, 
 71.19,   715.60,  6317.68,  1907.27,  -7.8710,  -0.0103,   3.2702, 
 81.36,   635.03,  6317.12,  1940.58,  -7.9726,  -0.0985,   3.2816, 
 91.53,   553.44,  6315.67,  1974.01,  -8.0731,  -0.1876,   3.2924, 
101.69,   470.84,  6313.31,  2007.54,  -8.1726,  -0.2777,   3.3023, 
111.86,   387.23,  6310.02,  2041.17,  -8.2710,  -0.3686,   3.3115, 
122.03,   302.62,  6305.81,  2074.89,  -8.3684,  -0.4604,   3.3200, 
132.20,   217.03,  6300.65,  2108.69,  -8.4646,  -0.5530,   3.3277, 
142.37,   130.46,  6294.56,  2142.57,  -8.5597,  -0.6463,   3.3346, 
152.54,    42.93,  6287.51,  2176.51,  -8.6536,  -0.7405,   3.3409, 
162.71,   -45.54,  6279.49,  2210.52,  -8.7464,  -0.8353,   3.3464, 
172.88,  -134.96,  6270.52,  2244.57,  -8.8380,  -0.9307,   3.3512, 
183.05,  -225.29,  6260.56,  2278.67,  -8.9284,  -1.0268,   3.3552, 
193.22,  -316.55,  6249.63,  2312.81,  -9.0175,  -1.1234,   3.3586, 
203.39,  -408.70,  6237.71,  2346.98,  -9.1054,  -1.2205,   3.3612, 
213.56,  -501.74,  6224.80,  2381.18,  -9.1921,  -1.3181,   3.3632, 
223.73,  -595.65,  6210.90,  2415.39,  -9.2775,  -1.4162,   3.3645, 
233.90,  -690.43,  6196.00,  2449.60,  -9.3617,  -1.5146,   3.3652, 
244.07,  -786.05,  6180.10,  2483.83,  -9.4445,  -1.6133,   3.3652, 
254.24,  -882.52,  6163.19,  2518.05,  -9.5261,  -1.7123,   3.3646, 
264.41,  -979.80,  6145.27,  2552.26,  -9.6064,  -1.8116,   3.3633, 
274.58, -1077.90,  6126.34,  2586.45,  -9.6854,  -1.9110,   3.3615, 
284.75, -1176.79,  6106.40,  2620.62,  -9.7631,  -2.0106,   3.3590, 
294.92, -1276.46,  6085.45,  2654.77,  -9.8395,  -2.1102,   3.3561, 
305.08, -1376.91,  6063.48,  2688.88,  -9.9147,  -2.2099,   3.3525, 
315.25, -1478.11,  6040.50,  2722.95,  -9.9886,  -2.3096,   3.3485, 
325.42, -1580.06,  6016.50,  2756.98, -10.0612,  -2.4091,   3.3439, 
335.59, -1682.74,  5991.50,  2790.96, -10.1325,  -2.5086,   3.3389, 
345.76, -1786.14,  5965.48,  2824.89, -10.2027,  -2.6079,   3.3334, 
355.93, -1890.25,  5938.46,  2858.76, -10.2716,  -2.7070,   3.3275, 
366.10, -1995.05,  5910.43,  2892.57, -10.3392,  -2.8058,   3.3212, 
376.27, -2100.54,  5881.39,  2926.31, -10.4057,  -2.9042,   3.3144, 
386.44, -2206.69,  5851.36,  2959.98, -10.4711,  -3.0024,   3.3074, 
396.61, -2313.50,  5820.33,  2993.58, -10.5353,  -3.1001,   3.3000, 
406.78, -2420.96,  5788.31,  3027.10, -10.5983,  -3.1973,   3.2923, 
416.95, -2529.06,  5755.30,  3060.54, -10.6603,  -3.2941,   3.2843, 
427.12, -2637.78,  5721.31,  3093.89, -10.7212,  -3.3903,   3.2760, 
437.29, -2747.11,  5686.35,  3127.17, -10.7811,  -3.4860,   3.2675, 
447.46, -2857.05,  5650.41,  3160.35, -10.8400,  -3.5810,   3.2589, 
457.63, -2967.59,  5613.51,  3193.45, -10.8979,  -3.6754,   3.2500, 
467.80, -3078.70,  5575.66,  3226.45, -10.9550,  -3.7691,   3.2410, 
477.97, -3190.40,  5536.86,  3259.37, -11.0111,  -3.8621,   3.2319, 
488.14, -3302.65,  5497.11,  3292.19, -11.0664,  -3.9544,   3.2227, 
498.31, -3415.47,  5456.43,  3324.91, -11.1208,  -4.0458,   3.2134, 
508.47, -3528.84,  5414.83,  3357.55, -11.1745,  -4.1365,   3.2041, 
518.64, -3642.75,  5372.30,  3390.08, -11.2275,  -4.2263,   3.1948, 
528.81, -3757.19,  5328.87,  3422.52, -11.2798,  -4.3153,   3.1855, 
538.98, -3872.16,  5284.53,  3454.87, -11.3314,  -4.4035,   3.1762, 
549.15, -3987.66,  5239.31,  3487.13, -11.3824,  -4.4907,   3.1670, 
559.32, -4103.67,  5193.20,  3519.29, -11.4329,  -4.5770,   3.1579, 
569.49, -4220.19,  5146.22,  3551.35, -11.4829,  -4.6625,   3.1488, 
579.66, -4337.22,  5098.37,  3583.33, -11.5324,  -4.7470,   3.1399, 
589.83, -4454.75,  5049.67,  3615.22, -11.5815,  -4.8306,   3.1312, 
600.00, -4572.77,  5000.13,  3647.02, -11.6302,  -4.9132,   3.1226, 
